web-scraper-order,web-scraper-start-url,tag,date,title
"1576034484-700","https://www.ettoday.net/news/news-list.htm","體育","2019/12/10 12:15","CBA／唱國歌低頭被罰1萬人民幣　亞布塞萊道歉了"
"1576034484-270","https://www.ettoday.net/news/news-list.htm","健康","2019/12/10 20:29","每天吃2份臭豆腐！他肚痛排茶尿…醫一照「好多顆陰影」驚：是惡性的"
"1576034484-350","https://www.ettoday.net/news/news-list.htm","影劇","2019/12/10 18:38","謝忻新節目被腰斬！　「金主抽腿不錄」銀根斷…生計出問題"
"1576034484-208","https://www.ettoday.net/news/news-list.htm","時尚","2019/12/10 22:20","打火機變手拿包、棒球帽大到像安全帽　Moschino地鐵車廂辦秀超浮誇"
"1576034484-517","https://www.ettoday.net/news/news-list.htm","影劇","2019/12/10 15:49","劉冠廷曾之喬攻賀歲檔　「邊殺人邊談戀愛」...炸出反差萌"
"1576034484-610","https://www.ettoday.net/news/news-list.htm","政治","2019/12/10 14:16","黃昭順嗆「不屑」握手影片　郭新政PO網...觸及人數竟破1百萬"
"1576034484-717","https://www.ettoday.net/news/news-list.htm","體育","2019/12/10 11:56","喬治返溜馬主場被噓「爛透了」　PG轟36+9比「閉嘴」手勢擊落前東家"
"1576034484-166","https://www.ettoday.net/news/news-list.htm","國際","2019/12/11 00:54","21歲櫻花妹狂捅牛郎男友！2人黑暗過去曝光　她聽完判決跪著哭了"
"1576034484-471","https://www.ettoday.net/news/news-list.htm","健康","2019/12/10 16:26","忽略前2次胸悶！他最後發病「瞬間沒心跳」倒地...醫籲：提早把握警訊"
"1576034484-751","https://www.ettoday.net/news/news-list.htm","社會","2019/12/10 11:26","酒駕逆向撞死人肇逃還找父親頂罪　爸寶男判刑1年半定讞"
"1576034484-504","https://www.ettoday.net/news/news-list.htm","生活","2019/12/10 15:59","聯誼超衰籤運！淡妝妹被逼「交出正妹閨蜜IG」　憤世哥狂密秀下限...結局療癒"
"1576034484-627","https://www.ettoday.net/news/news-list.htm","影劇","2019/12/10 13:52","邵翔為工作提議「暫時分開」　小蠻笑打槍：你忍得住嗎！"
"1576034484-633","https://www.ettoday.net/news/news-list.htm","健康","2019/12/10 13:35","車禍致「絞刑式骨折」險癱！醫警告「沒繫安全帶」風險高：2運動也是"
"1576034484-425","https://www.ettoday.net/news/news-list.htm","社會","2019/12/10 17:15","聖誕老人也行搶？年關近蘆洲警演練圍捕　車牌辨識系統立大功"
"1576034484-718","https://www.ettoday.net/news/news-list.htm","影劇","2019/12/10 11:55","《長江七號》惡霸小胖11年後絕美變身！　「美少女近照」曝光…網見驚人落差傻了"
"1576034484-514","https://www.ettoday.net/news/news-list.htm","社會","2019/12/10 15:51","爭取團聚時光「帶妻小一起送貨」！貨櫃車運將是靠行司機　接件計酬養家"
"1576034484-621","https://www.ettoday.net/news/news-list.htm","寵物動物","2019/12/10 14:03","猛男歐告趴牆...意外捕捉「大胸細腰」！　網驚：有健身？"
"1576034484-424","https://www.ettoday.net/news/news-list.htm","寵物動物","2019/12/10 17:16","鼠鼠屁股後面「長肉瘤」　飼主急死卻被店家回應嚇傻：那麼大？"
"1576034484-141","https://www.ettoday.net/news/news-list.htm","大陸","2019/12/11 06:30","解讀「26條措施」　國台辦今起連辦兩場專題記者會"
"1576034484-84","https://www.ettoday.net/news/news-list.htm","大陸","2019/12/11 09:52","影／警破詐騙集團　驚現「高官自稱大夫」性侵6名未成年少女"
"1576034484-764","https://www.ettoday.net/news/news-list.htm","寵物動物","2019/12/10 11:14","寒流來襲！小爪水獺塞樹洞睡覺　樹懶每天爬樹上蜷成一團"
"1576034484-569","https://www.ettoday.net/news/news-list.htm","社會","2019/12/10 15:02","藍委抗爭又爆插曲　外交部發函警局：1基層員工遭暴力推擠"
